Nomes,cpf
Alice,123.456.789-09
Bob,987.654.321-00
Charlie,234.567.890-12
David,876.543.210-98
Eva,345.678.901-23
Frank,210.987.654-87
Grace,456.789.012-34
Henry,789.012.345-67
Ivy,543.210.987-45
Jack,678.901.234-56
Jane,111.222.333-44
Kevin,555.666.777-88
Lily,999.000.111-22
Mike,333.444.555-66
Nora,777.888.999-00
Oliver,222.333.444-55
Penny,666.777.888-99
Quinn,000.111.222-33
Ryan,444.555.666-77
Sara,888.999.000-11
Tom,112.233.445-56
Uma,223.344.556-67
Victor,334.455.667-78
Wendy,445.566.778-89
Xander,556.677.889-90
Yara,667.788.990-01
Zane,778.899.001-12
Abby,889.900.112-23
Ben,900.011.223-34
Cathy,123.234.345-56
Daniel,234.345.456-67
Emily,345.456.567-78
Felix,456.567.678-89
Gina,567.678.789-90
Hank,678.789.900-01
Iris,789.900.011-12
Jake,900.011.122-33
Kara,111.222.333-44
Leo,222.333.444-55
Mia,333.444.555-66
Nathan,444.555.666-77
Olive,555.666.777-88
Paul,666.777.888-99
Quincy,777.888.999-00
Rachel,888.999.000-11
Sam,999.000.111-22
Tina,000.111.222-33
Ulysses,111.222.333-44
Vera,222.333.444-55
Will,333.444.555-66
